title;isbn;eisbn;pid
The 2009 Brown Center Report on American Education;9780815704935;9780815722359;9780815722359
Is This Any Way to Run a Democratic Government?;9781589010055;9781589013490;9781589013490
Ten Thousand Democracies;9781589010765;9781589014206;9781589014206
Branching Out, Digging In;9781589011236;9781589012806;9781589012806
The Greening of the U.S. Military;9781589011533;9781589014466;9781589014466
Custodians of Place;9781589012561;9781589015906;9781589015906
Implementing Innovation;9781589016279;9781589016705;9781589016705
Out and Running;9781589016996;9781589016149;9781589016149
Nassau Plantation;9781574412864;9781574413434;9781574413434
Invasion and Transformation;9780870818868;9781607320012;9781607320012
Territories of History;9780271032788;9780271022093;9780271022093
Other Side of Gridlock, The;9781438430515;9781438430522;9781438430522
Globalizing Justice;9781438430690;9781438430713;9781438430713
Interest Groups and Campaign Finance Reform in the United States and Canada;9780472051441;9780472026753;9780472026753
Three's A Crowd;9780472030996;9780472026159;9780472026159
Legislative Entrepreneurship in the U.S. House of Representatives;9780472088140;9780472022489;9780472022489
Everyday Politics;9780812219319;9780812204216;9780812204216
A Voice for Human Rights;9780812220070;9780812203332;9780812203332
Ethnic Cues;;9780472021857;9780472021857
Engaging Young People in Civic Life;9780826516503;9780826516527;9780826516527
The Games of July;9780472051168;9780472023707;9780472023707
The Way We Vote;9780826516534;9780826516558;9780826516558
Do Good Fences Make Good Neighbors?;9781589015715;9781589017276;9781589017276
Understanding Torture;9780472050772;9780472021789;9780472021789
Politics and the Intellectual;9781557535511;9781612490151;9781612490151
The Political Centrist;9780826516688;9780826516701;9780826516701
When Protest Makes Policy;;9780472026371;9780472026371
Plato's Political Philosophy;9780801897658;9780801899188;9780801899188
Crafting State-Nations;9780801897245;9780801899423;9780801899423
Religious Politics and Secular States;9780801896699;9780801899201;9780801899201
The Limits of U.S. Military Capability;9780801894725;9780801897504;9780801897504
You, the People;9781603442985;9781603444873;9781603444873
Stepping Forth into the World;9789888028863;9789888053445;9789888053445
Population and Society in Contemporary Tibet;9789622092020;9789888053766;9789888053766
Cantonese Society in Hong Kong and Singapore;9789888028146;9789888053650;9789888053650
Religious Expression and the American Constitution;9780870136917;9780870139239;9780870139239
From Black Power to Black Studies;9780801898259;9780801899713;9780801899713
Tribe, Race, History;9780801898198;9780801899683;9780801899683
Redeeming Mulatto;9781602582934;9781602584822;9781602584822
Latina/o Social Ethics;9781602582941;9781602584846;9781602584846
Aldersgate and Athens;9781602582460;9781602584938;9781602584938
Politics in the Parish;9781589011939;9781589013896;9781589013896
Justice and Rights;9781589014893;9781589017221;9781589017221
The Church and Secularity;9781589014909;9781589017252;9781589017252
Common Ground;9781589015074;9781589017207;9781589017207
Humanity: Texts and Contexts;9781589017160;9781589017597;9781589017597
Religion and Violence in Early American Methodism;9780253354440;9780253004239;9780253004239
Evangelical Christians in the Muslim Sahel;9780253347398;9780253111920;9780253111920
Shakers, Mormons, and Religious Worlds;9780253355409;9780253004895;9780253004895
Makers of Modern Korean Buddhism;9781438429212;9781438429236;9781438429236
Pathways to an Inner Islam;9781438429557;9781438429571;9781438429571
Walt Whitman's Mystical Ethics of Comradeship;9781438430119;9781438430126;9781438430126
American Buddhism as a Way of Life;9781438430935;9781438430959;9781438430959
Taiwan's Buddhist Nuns;9781438431475;9781438431499;9781438431499
Soaring Minaret, A;9781438431710;9781438431727;9781438431727
Hinduism as a Missionary Religion;9781438432113;9781438432137;9781438432137
Religious Philosophy as Multidisciplinary Comparative Inquiry;9781438432359;9781438432373;9781438432373
Buddhist World of Southeast Asia, The;9781438432519;9781438432526;9781438432526
Islam and Social Policy;9780826514462;9780826591791;9780826591791
Margaret Fell and the End of Time;9781602580626;9781602584945;9781602584945
Confucianism in Context;9781438431918;9781438431925;9781438431925
The Challenge of Being Baptist;9781602583061;9781602584877;9781602584877
Border Lines;9780812219869;9780812203844;9780812203844
Material Culture and Jewish Thought in America;9780253354549;9780253004161;9780253004161
The Jewish Jesus;9781557535795;9781612491776;9781612491776
Maven in Blue Jeans;9781557535214;9781612490137;9781612490137
The Emergence of Modern Hebrew Creativity in Babylon, 1735- 1950;9781557535146;9781612490120;9781612490120
The Insight of Unbelievers;9780812220216;9780812200393;9780812200393
Perversion of Power;9780826515469;9780826592224;9780826592224
Muslim Women Activists in North America;9780292706316;9780292796614;9780292796614
Theological Foundations for Environmental Ethics;9781589012684;9781589016118;9781589016118
An Ethics of Biodiversity;9781589016453;9781589016644;9781589016644
Creative Conformity;9781589017399;9781589017528;9781589017528
Blood on German Snow;9781585445370;9781603445313;9781603445313
African Americans Doing Feminism;9781438431413;9781438431437;9781438431437
Imagining Black Womanhood;9781438433271;9781438433288;9781438433288
Obama Effect, The;9781438436593;9781438436616;9781438436616
African Diaspora in the United States and Canada at the Dawn of the 21st Century, The;9781438436845;9781438436852;9781438436852
Sista, Speak!;9780292747289;9780292798380;9780292798380
Parodies of Ownership;9780472050604;9780472024490;9780472024490
West African Narratives of Slavery;9780253356079;9780253005052;9780253005052
Something Akin to Freedom;9781438429717;9781438429724;9781438429724
War of Words, War of Stones;9780253355850;9780253005045;9780253005045
Urban Design, Chaos, and Colonial Power in Zanzibar;9780253355430;9780253004963;9780253004963
Black, White, and Catholic;9780826514837;9780826591937;9780826591937
The African Diaspora and the Disciplines;9780253354648;9780253001337;9780253001337
Islamophobia/Islamophilia;9780253354792;9780253004543;9780253004543
Fighting for Faith and Nation;9780812215922;9780812200171;9780812200171
Scientists and Storytellers;9780826338686;9780826338709;9780826338709
Latino Migrants in the Jewish State;9780253355072;9780253004710;9780253004710
Shari'a Politics;9780253356277;9780253000897;9780253000897
Comprehending Drug Use;9780813548036;9780813549934;9780813549934
Walls That Speak;9781574412895;9781574413502;9781574413502
Demographic Vistas;9780812215601;9780812202717;9780812202717
Rape on Prime Time;9780812217100;9780812204001;9780812204001
The Golden Age of Indianapolis Theaters;9780253354600;9780253001436;9780253001436
Jane Campion;9780253356185;9780253000873;9780253000873
Arab Filmmakers of the Middle East;9780253355188;9780253004598;9780253004598
English Filming, English Writing;9780253354433;9780253004147;9780253004147
Hollywood Gamers;9780253355249;9780253004673;9780253004673
Idolized;9780253355713;9780253005106;9780253005106
Second Takes;9781438430294;9781438430317;9781438430317
August Wilson;9781587298752;9781587299353;9781587299353
James Dean Transfigured;9780292714434;9780292795518;9780292795518
Harnessing the Technicolor Rainbow;9780292716278;9780292794900;9780292794900
The Solaris Effect;9780292713444;9780292795617;9780292795617
Unruly Girls, Unrepentant Mothers;9780292718333;9780292784802;9780292784802
Left of Hollywood;9780292722965;9780292784734;9780292784734
A Splurch in the Kisser;9780819569158;9780819569776;9780819569776
The Modern Dance;9780819560032;9780819570932;9780819570932
Next Week, Swan Lake;9780819550620;9780819570659;9780819570659
No Safe Spaces;9780472051212;9780472027972;9780472027972
Choreographing Asian America;9780819567024;9780819571083;9780819571083
Done into Dance;9780819565600;9780819570963;9780819570963
Movable Pillars;9780819569110;9780819569653;9780819569653
Choreographing Difference;9780819563156;9780819569912;9780819569912
Embodying Black Experience;9780472051113;9780472027095;9780472027095
Cinepaternity;9780253354587;9780253001375;9780253001375
It;9780472069361;9780472026340;9780472026340
The South Korean Film Renaissance;9780819569394;9780819569868;9780819569868
Mel Gibson's Passion;9781557534057;9781612490106;9781612490106
Brutal Intimacy;9780819568267;9780819570000;9780819570000
Playing Doctor;9780472034277;9780472027576;9780472027576
The President Electric;9780472050734;9780472026630;9780472026630
The Faithful Citizen;9781602582538;9781602584884;9781602584884
Understanding Indian Movies;9780292717862;9780292794160;9780292794160
The Chosen Folks;9780292721777;9780292792791;9780292792791
The New York Public Intellectuals and Beyond;9781557534811;9781612490113;9781612490113
Blowing the Whistle on Genocide;9781557535078;9781612490144;9781612490144
Jewish Women in Fin de Siècle Vienna;9780292718616;9780292794283;9780292794283
Jewish Bialystok and Its Diaspora;9780253354426;9780253004284;9780253004284
Zionism and the Roads Not Taken;9780253354556;9780253004307;9780253004307
The Holocaust Object in Polish and Polish-Jewish Culture;9780253355645;9780253005090;9780253005090
Stan Kenton;9781574412840;9781574413304;9781574413304
Dennis Brain;9781574413076;9781574413519;9781574413519
Last Stop, Carnegie Hall;9781574413069;9781574413410;9781574413410
Forceful Negotiations;9780803225404;9780803234437;9780803234437
Yaxcabá and the Caste War of Yucatán;9780826329622;9780826329660;9780826329660
Reframing Latin America;9780292709331;9780292794788;9780292794788
Building Nineteenth-Century Latin America;9780826516657;9780826516671;9780826516671
Survival Along the Continental Divide;9780826344397;9780826344410;9780826344410
The Adaptive Optics Revolution;9780826346919;9780826346933;9780826346933
Cataclysm;9781574412819;9781574413441;9781574413441
Life and Death in the Central Highlands;9781574412925;9781574413342;9781574413342
The Johnson-Sims Feud;9781574412901;9781574413489;9781574413489
Written in Blood;9781574412956;9781574413496;9781574413496
Bloody Bill Longley;9781574413052;9781574413533;9781574413533
Captain John R. Hughes;9781574413045;9781574413540;9781574413540
La Clínica;9780826345264;9780826345257;9780826345257
Missionary Scientists;9780826517449;9780826517463;9780826517463
Who Gets a Childhood?;9780820329833;9780820337623;9780820337623
The Crusades and the Christian World of the East;9780812220834;9780812202694;9780812202694
The Cistercian Evolution;9780812221022;9780812200799;9780812200799
Exiled in the Homeland;9780292719828;9780292795174;9780292795174
Atlantic Loyalties;9780820330044;9780820336503;9780820336503
The Unemployed People's Movement;9780820330457;9780820336428;9780820336428
Beneficial Bombing;9780803233980;9780803234499;9780803234499
For Home and Country;9780803224742;9780803228320;9780803228320
Americo Paredes;9781574412871;9781574413328;9781574413328
Always for the Underdog;9781574412888;9781574413465;9781574413465
Refugee Rights;9781589012028;9781589014053;9781589014053
Lifting the Fog of Peace;9780472034826;9780472022984;9780472022984
God and Global Order;9781602582507;9781602584839;9781602584839
Defacing Power;;9780472022809;9780472022809
Driven from Home;9781589016460;9781589016798;9781589016798
The Justice of Mercy;;9780472024551;9780472024551
Church, State, and the Crisis in American Secularism;9780253356345;9780253001368;9780253001368
Common Ground;9780870817793;9780870818608;9780870818608
The Renaissance Bible;9781602583092;9781602584921;9781602584921
Christianity and the Mass Media in America;9780870137747;9780870139529;9780870139529
Mother Earth and Uncle Sam;9780292716896;9780292794443;9780292794443
A Guide to Sources of Texas Criminal Justice Statistics;9781574413083;9781574413526;9781574413526
Conservatism and Racism, and Why in America They Are the Same;9781438432335;9781438432342;9781438432342
Race, Ethnicity, and Place in a Changing America;9781438436807;9781438436814;9781438436814
Multicultural Geographies;9781438436821;9781438436838;9781438436838
The Enigma of Ethnicity;9780877457503;9781587293399;9781587293399
Raising Your Kids Right;9780813547985;9780813549958;9780813549958
What's Going On?;9781589017023;9781589016163;9781589016163
Exporting Security;9781589017085;9781589016194;9781589016194
Defenders of Liberty or Champions of Security?;9781438430478;9781438430492;9781438430492
Women's Spiritual Leadership in Africa;9781438429779;9781438429786;9781438429786
No Permanent Waves;9780813547244;9780813549170;9780813549170
Colonial Metropolis;9780803225459;9780803229938;9780803229938
The Book of Peace;9780271033969;9780271021782;9780271021782
Career Stories;9780271032689;9780271021225;9780271021225
Imperial Lyric;9780271035178;9780271052564;9780271052564
Love Cures;9780271035307;9780271052571;9780271052571
Reconstructing Woman;9780271032665;9780271022246;9780271022246
Notations of the Wild;9780877455707;9781587292453;9781587292453
The Making of Theatrical Reputations;9781587296260;9781587297793;9781587297793
Taking Science to the People;9780803220522;9780803234505;9780803234505
Circles Where the Head Should Be;9781574413090;9781574413427;9781574413427
A Bright Soothing Noise;9781574412918;9781574413311;9781574413311
The Universal Declaration of Human Rights;9780812217476;9780812200416;9780812200416
The International Commission of Jurists;9780812232547;9780812203158;9780812203158
African Constitutionalism and the Role of Islam;9780812239621;9780812201116;9780812201116
Apple Pie and Enchiladas;9780292702776;9780292797215;9780292797215
The Sex Lives of Saints;9780812220209;9780812200720;9780812200720
Origins of the Ñuu;9780870819292;9780870819902;9780870819902
Frontiers in Colorado Paleoindian Archaeology;9780870818905;9780870819766;9780870819766
The Madrid Codex;9780870819391;9780870818615;9780870818615
Excavating Nauvoo;9780803218932;9780803228351;9780803228351
Brave New Words;9781587298615;9781587299223;9781587299223
Good Game;9781932792102;9781602584983;9781602584983
The Material of Knowledge;9780253354679;9780253004253;9780253004253
The Female King of Colonial Nigeria;9780253355386;9780253005076;9780253005076
Tabloid Journalism in South Africa;9780253354921;9780253004291;9780253004291
Queer Ecologies;9780253354839;9780253004741;9780253004741
Palestinian and Israeli Public Opinion;9780253354372;9780253004178;9780253004178
Paul Ricoeur between Theology and Philosophy;9780253354655;9780253004352;9780253004352
Performing American Masculinities;9780253355737;9780253000842;9780253000842
Pinks, Pansies, and Punks;9780253355478;9780253004956;9780253004956
Militarism and Israeli Society;9780253354419;9780253004208;9780253004208
Mother Is Gold, Father Is Glass;9780253355454;9780253004888;9780253004888
Anthropology and Egalitarianism;9780253355768;9780253004840;9780253004840
Anti-Jewish Violence;9780253355201;9780253004789;9780253004789
Beyond Dolby (Stereo);9780253355461;9780253004857;9780253004857
Birth, Death, and Femininity;9780253355355;9780253004826;9780253004826
Bush on the Home Front;9780253354365;9780253004130;9780253004130
Development without Destruction;9780253354884;9780253004567;9780253004567
Domestic Violence in Postcommunist States;9780253355041;9780253004734;9780253004734
What about Darwin?;9780801894626;9780801897528;9780801897528
An Amish Paradox;9780801893995;9780801897900;9780801897900
Wired Wilderness;9780801897108;9780801899287;9780801899287
Edison's Electric Light;9780801894824;9780801899447;9780801899447
Late Roman Spain and Its Cities;9780801898327;9780801899492;9780801899492
Aquinas and the Jews;9780812215236;9780812200447;9780812200447
Human Rights in Cross-Cultural Perspectives;9780812215687;9780812200195;9780812200195
The Hero and the Perennial Journey Home in American Film;9780812217681;9780812200133;9780812200133
Rites and Passages;9780812220087;9780812200157;9780812200157
Guarding the Border;9781603440967;9781603443425;9781603443425
Gulf of Mexico Origin, Waters, and Biota;9781603442909;9781603442695;9781603442695
Generations on the Land;9781603442411;9781603442428;9781603442428
Offshore Imperative;9781603441568;9781603442725;9781603442725
Soldiering for Freedom;9781585444069;9781603446013;9781603446013
Being Maasai, Becoming Indigenous;9780253356208;9780253000910;9780253000910
The Lying Brain;9780472051489;9780472027026;9780472027026
Responsive Democracy;;9780472025732;9780472025732
Archives, Documentation, and Institutions of Social Memory;9780472032709;9780472026722;9780472026722
Mad at School;9780472051380;9780472027989;9780472027989
Lives in the Balance;;9780815701774;9780815701774
American Foundations;;9780815704577;9780815704577
Cuba's Energy Future;;9780815704591;9780815704591
Reconsidering Retirement;;9780815705000;9780815705000
Confronting Poverty;;9780815704355;9780815704355
Learning to Salsa;;9780815704324;9780815704324
The East Moves West;;9780815704430;9780815704430
From the Ground Up;;9780815704362;9780815704362
Asia and Policymaking for the Global Economy;;9780815704386;9780815704386
After the Crash;;9780815704294;9780815704294
Climate Change and Forests;;9780815701484;9780815701484
Policy and Choice;;9780815705017;9780815705017
Financial Market Regulation and Reforms in Emerging Markets;;9780815704904;9780815704904
Myanmar/Burma;;9780815705062;9780815705062
A Skeptic's Case for Nuclear Disarmament;;9780815705086;9780815705086
The Impact of Health Insurance in Low- And Middle-Income Countries;;9780815705611;9780815705611
The 2010 Brown Center Report on American Education;9780815722328;9780815722366;9780815722366
Mediumism;9781438429250;9781438429274;9781438429274
Critical Transnational Feminist Praxis;9781438429373;9781438429397;9781438429397
My Life at the Gym;9781438429434;9781438429458;9781438429458
Reading Derrida and Ricoeur;9781438429496;9781438429519;9781438429519
Governing the Female Body;9781438429533;9781438429540;9781438429540
Educating Democracy;9781438429618;9781438429632;9781438429632
Congress;9781438429670;9781438429694;9781438429694
By the Breath of Their Mouths;9781438429953;9781438429977;9781438429977
Ideologies of Forgetting;9781438429991;9781438430003;9781438430003
Divine Beauty;9780826514400;9780826591760;9780826591760
Ordinary Enchantments;9780826514417;9780826591777;9780826591777
Invisible Work;9780826514073;9780826591562;9780826591562
Gender and Nation in the Spanish Modernist Novel;9780826514363;9780826591746;9780826591746
Multi-Ethnic Bird Guide of the Subantarctic Forests of South America;9781574412826;9781574413458;9781574413458
Savage Frontier Volume IV 1842-1845;9781574412932;9781574413472;9781574413472
Skywatching in the Ancient World;9781607320777;9780870819803;9780870819803
Arch Lake Woman;9781603442084;9781603443074;9781603443074
Assumed Identities;9781603441926;9781603443197;9781603443197
Bridging the Constitutional Divide;9781603441490;9781603443272;9781603443272
Call Her a Citizen;9781603441858;9781603443302;9781603443302
Chilean Modern Architecture since 1950;9781603441353;9781603443333;9781603443333
Combat Ready?;9781603441674;9781603443357;9781603443357
Early Modern Human from Tianyuan Cave, China;9781603441773;9781603442459;9781603442459
Encyclopedia of Texas Seashells;9781603441414;9781603443371;9781603443371
Every Day a Nightmare;9781603441766;9781603442466;9781603442466
Exploring the Edges of Texas;9781603441537;9781603443067;9781603443067
Farm Workers and the Churches;9781603441742;9781603443395;9781603443395
George P. Mitchell and the Idea of Sustainability;9781603442176;9781603442473;9781603442473
Going to Windward;9781603442213;9781603443098;9781603443098
Great Southwest Railroad Strike and Free Labor;9781603441704;9781603443401;9781603443401
Historical Archaeology of Military Sites;9781603442077;9781603443104;9781603443104
Holy Ground, Healing Water;9781603442107;9781603443111;9781603443111
How Did Davy Die? And Why Do We Care So Much?;9781603441940;9781603443470;9781603443470
Landmark Speeches on the Vietnam War;9781603441643;9781603443500;9781603443500
Learning under Fire;9781603441711;9781603443524;9781603443524
Moodys of Galveston and Their Mansion;9781603441827;9781603443531;9781603443531
Nixon's Super-Secretaries;9781603441797;9781603442497;9781603442497
Oilfield Trash;9781603442053;9781603442503;9781603442503
Operation PLUM;9781603441841;9781603442510;9781603442510
Provisional Pulpit;9781603441872;9781603443593;9781603443593
Tejano Leadership in Mexican and Revolutionary Texas;9781603441520;9781603443029;9781603443029
Reagan at Westminster;9781603442152;9781603443180;9781603443180
Son Tay Raid;9781603442121;9781603442527;9781603442527
Texas Left;9781603441759;9781603443708;9781603443708
Texas Legacy Project;9781603442008;9781603445115;9781603445115
Traveling the Shore of the Spanish Sea;9781603441612;9781603443760;9781603443760
Trees, Shrubs, and Vines of the Texas Hill Country;9781603441889;9781603443777;9781603443777
Unitary Executive and the Modern Presidency;9781603441735;9781603443784;9781603443784
White House Politics and the Environment;9781603442022;9781603443166;9781603443166
Why Texans Fought in the Civil War;9781603441728;9781603443050;9781603443050
Connecticut Needlework;9781881264118;9780819571267;9780819571267
A Year from Monday;9780819560025;9780819570550;9780819570550
Paris Spleen;9780819569097;9780819569981;9780819569981
A History of Economic Thought;9780819569387;9780819569974;9780819569974
The Place Where You Go to Listen;9780819569035;9780819569899;9780819569899
Fire in the Stone;9780819569004;9780819569721;9780819569721
The Self-Dismembered Man;9780819566904;9780819569950;9780819569950
Finding Pete;9780819569233;9780819570864;9780819570864
Rococo and Other Worlds;9780819569332;9780819569875;9780819569875
M;9780819560353;9780819570611;9780819570611
Live from the Homesick Jamboree;9780819569301;9780819570512;9780819570512
Stance;9780819568779;9780819569998;9780819569998
Music and Cyberliberties;9780819569172;9780819570505;9780819570505
Water for Hartford;9780819570802;9780819571021;9780819571021
Barbed Wire;9780819567192;9780819570765;9780819570765
Impossible Dance;9780819564979;9780819570543;9780819570543
Writing in Motion;9780819566133;9780819569646;9780819569646
Picturing Victorian America;9781881264095;9780819571250;9780819571250
On Joanna Russ;9780819569011;9780819569684;9780819569684
Martha Hill and the Making of American Dance;9780819568991;9780819569745;9780819569745
The Millennium Hotel;9780819522290;9780819569738;9780819569738
The Constructivist Moment;9780819566096;9780819569783;9780819569783
Among the Jasmine Trees;9780819567987;9780819569851;9780819569851
Empty Words;9780819550323;9780819570598;9780819570598
Westover;9780819568861;9780819569660;9780819569660
Bright Felon;9780819569165;9780819569936;9780819569936
Silence;9780819560285;9780819570642;9780819570642
Henry Austin;9780819568960;9780819569691;9780819569691
Elegguas;9780819569431;9780819571007;9780819571007
Born Southern;9780801894176;9780801897405;9780801897405
Possible Worlds of Fiction and History;9780801894633;9780801897443;9780801897443
Return Fire;9780801894312;9780801897450;9780801897450
Stories of the Babylonian Talmud;9780801894497;9780801897467;9780801897467
The Civic Foundations of Fascism in Europe;9780801894275;9780801897481;9780801897481
The Prism and the Rainbow;9780801894787;9780801897511;9780801897511
Gender and Justice;9780801894282;9780801897924;9780801897924
Looking for a Few Good Males;9781421404028;9780801898174;9780801898174
Questioning the Premedical Paradigm;9780801894169;9780801898402;9780801898402
Health Care in World Cities;9780801894442;9780801898471;9780801898471
Buying into the World of Goods;9780801898266;9780801898488;9780801898488
The Natural Philosophy of Margaret Cavendish;9780801894435;9780801898631;9780801898631
The Neural Sublime;9780801894534;9780801898648;9780801898648
For Business and Pleasure;9780801894138;9780801898778;9780801898778
Three Generations, No Imbeciles;9780801898242;9780801898815;9780801898815
Chasing Shadows;9780801896910;9780801899102;9780801899102
Early FM Radio;9780801894404;9780801899133;9780801899133
Ethical Imperialism;9780801894909;9780801899140;9780801899140
Moses of South Carolina;9780801894640;9780801899164;9780801899164
Regime Change in the Yugoslav Successor States;9780801894299;9780801899195;9780801899195
Romantic Narrative;9780801897214;9780801899218;9780801899218
Swift, the Book, and the Irish Financial Revolution;9780801895074;9780801899249;9780801899249
The Hutterites in North America;9780801894893;9780801899256;9780801899256
The Life and Afterlife of Isabeau of Bavaria;9780801896255;9780801899263;9780801899263
The Pathos of the Real;9780801897566;9780801899270;9780801899270
Financing the Athenian Fleet;9780801898150;9780801899300;9780801899300
Am I a Monkey?;9780801897542;9780801899386;9780801899386
Becoming Neapolitan;9780801897870;9780801899393;9780801899393
Daily Demonstrators;9780801897009;9780801899430;9780801899430
Lessons amid the Rubble;9780801897207;9780801899508;9780801899508
Mammal Teeth;9780801896682;9780801899515;9780801899515
Ocean State;9780801896583;9780801899539;9780801899539
The Chinese Roots of Linear Algebra;9780801897559;9780801899584;9780801899584
Three Shots at Prevention;9780801896729;9780801899591;9780801899591
Trouble in Mind;9780801898075;9780801899607;9780801899607
Virgil's Book of Bucolics, the Ten Eclogues Translated into English Verse;9780801897993;9780801899614;9780801899614
Warrior Pursuits;9780801897290;9780801899690;9780801899690
Reading Ḥayy Ibn-Yaqẓān;9780801897399;9780801899720;9780801899720
Cross-Cultural Scientific Exchanges in the Eastern Mediterranean, 1560–1660;9780801894763;9780801899928;9780801899928
Lawless Universe;9780801895814;9780801899959;9780801899959
New Orleans after the Civil War;9780801894343;9780801899973;9780801899973
Romantic Interactions;9780801894749;9780801899980;9780801899980
The "Good War" in American Memory;9780801896675;9781421400020;9781421400020
Addiction and Art;9780801894817;9781421400235;9781421400235
Lost Girls;9780801894992;9781421400242;9781421400242
Introduction to Cognitive Cultural Studies;9780801894886;9781421400280;9781421400280
Happy Pills in America;9780801898143;9781421400990;9781421400990
Talking with Patients and Families about Medical Error;9780801898044;9781421401027;9781421401027
Ethical Foundations of Palliative Care for Alzheimer Disease;9780801898396;9781421403687;9781421403687
Reconstituting Whiteness;9780826516855;9780826516879;9780826516879
Living on the Edge in Suburbia;9780826516992;9780826517012;9780826517012
The DeMarco Factor;9780826517029;9780826517043;9780826517043
Locked Up, Locked Out;9780826517111;9780826517135;9780826517135
Willing and Unable;9780826517142;9780826517166;9780826517166
Handbook of Medical Sociology, Sixth Edition;9780826517203;9780826517227;9780826517227
They Came to Nashville;9780826517357;9780826517371;9780826517371
Portugal Journal, The;9781438429595;9781438429601;9781438429601
Eros and the Intoxications of Enlightenment;9781438430171;9781438430195;9781438430195
Unprecedented Deformation, An;9781438430218;9781438430225;9781438430225
Guide to Integral Psychotherapy, A;9781438430232;9781438430256;9781438430256
Passing of Postmodernism, The;9781438430355;9781438430379;9781438430379
Unresolved Identities;9781438430577;9781438430591;9781438430591
Teachers Learning in Community;9781438430614;9781438430621;9781438430621
Concurring Opinion Writing on the U.S. Supreme Court;9781438430676;9781438430683;9781438430683
All But Forgotten;9781438430737;9781438430744;9781438430744
Splintered Accountability;9781438430751;9781438430775;9781438430775
Proving Up;9781438430799;9781438430805;9781438430805
Siva's Demon Devotee;9781438430874;9781438430898;9781438430898
Psychotherapy of Love, A;9781438430911;9781438430928;9781438430928
Rewriting Difference;9781438430997;9781438431017;9781438431017
Teaching the Silk Road;9781438431031;9781438431048;9781438431048
What Is Enlightenment;9781438431055;9781438431079;9781438431079
Philosophy and Religion in Early Medieval China;9781438431871;9781438431895;9781438431895
Ethics, Aesthetics, and the Beyond of Language;9781438431932;9781438431956;9781438431956
Colonizing the Realm of Words;9781438431994;9781438432014;9781438432014
