pid;issn;eissn;doi;title;pidurl;pidurltoc;subjectcategory;primarysubectarea;originalcompany;media
AYC;0108-2701;1600-5759;10.1111/(ISSN)1600-5759;ACTA CRYSTALLOGRAPHICA SECTION C (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759/issues;Chemistry   ;Crystallography;Blackwell;Online
AYD;0907-4449;1399-0047;10.1111/(ISSN)1399-0047;ACTA CRYSTALLOGRAPHICA SECTION D (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047/issues;Chemistry   ;Crystallography;Blackwell;Online
AYF2;;1744-3091;10.1111/(ISSN)1744-3091;ACTA CRYSTALLOGRAPHICA SECTION F (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091/issues;Chemistry   ;Crystallography;Blackwell;Online
ACGS;1000-9515;1755-6724;10.1111/(ISSN)1755-6724;ACTA GEOLOGICA SINICA (ENGLISH EDITION);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724/issues;Earth and Environmental Science;General & Introductory Earth Sciences;Blackwell;Print & Online
ANE;0001-6314;1600-0404;10.1111/(ISSN)1600-0404;ACTA NEUROLOGICA SCANDINAVICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404/issues;Medical, Veterinary and Health Sciences;Neurology;Blackwell;Print & Online
AOGS;0001-6349;1600-0412;10.1111/(ISSN)1600-0412;ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412/issues;Medical, Veterinary and Health Sciences;Obstetrics & Gynecology;Blackwell;Print & Online
AOS;1755-375X;1755-3768;10.1111/(ISSN)1755-3768;ACTA OPHTHALMOLOGICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768/issues;Medical, Veterinary and Health Sciences;Ophthalmology;Blackwell;Print & Online
APA;0803-5253;1651-2227;10.1111/(ISSN)1651-2227;ACTA PAEDIATRICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227/issues;Medical, Veterinary and Health Sciences;Pediatrics;Blackwell;Print & Online
APHA;1748-1708;1748-1716;10.1111/(ISSN)1748-1716;ACTA PHYSIOLOGICA (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716/issues;Life Sciences;Physiology;Blackwell;Online
ACPS;0001-690X;1600-0447;10.1111/(ISSN)1600-0447;ACTA PSYCHIATRICA SCANDINAVICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447/issues;Medical, Veterinary and Health Sciences;Psychiatry;Blackwell;Print & Online
AZO;0001-7272;1463-6395;10.1111/(ISSN)1463-6395;ACTA ZOOLOGICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395/issues;Life Sciences;Animal Science & Zoology;Blackwell;Print & Online
ADD;0965-2140;1360-0443;10.1111/(ISSN)1360-0443;ADDICTION;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443/issues;Medical, Veterinary and Health Sciences;Psychology;Blackwell;Print & Online
ADB;1355-6215;1369-1600;10.1111/(ISSN)1369-1600;ADDICTION BIOLOGY (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600/issues;Life Sciences;Neuroscience;Blackwell;Online
ADSP;1524-6817;2161-0029;10.1002/(ISSN)2161-0029;ADULTSPAN JOURNAL;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029/issues;Humanities and Social Sciences;Psychotherapy & Counseling;Wiley;Print & Online
2528;1614-6832;1614-6840;10.1002/(ISSN)1614-6840;ADVANCED ENERGY MATERIALS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840/issues;Engineering ;General & Introductory Materials Science;Wiley;Online
2266;1438-1656;1527-2648;10.1002/(ISSN)1527-2648;ADVANCED ENGINEERING MATERIALS  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648/issues;Polymers and Materials Science;General & Introductory Materials Science;Wiley;Online
2126;1616-301X;1616-3028;10.1002/(ISSN)1616-3028;ADVANCED FUNCTIONAL MATERIALS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028/issues;Polymers and Materials Science;General & Introductory Materials Science;Wiley;Print & Online
2087;2192-2640;2192-2659;10.1002/(ISSN)2192-2659;ADVANCED HEALTHCARE MATERIALS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659/issues;Polymers and Materials Science;General & Introductory Materials Science;Wiley;Print & Online
2089;0935-9648;1521-4095;10.1002/(ISSN)1521-4095;ADVANCED MATERIALS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095/issues;Polymers and Materials Science;General & Introductory Materials Science;Wiley;Print & Online
E298;;2195-1071;10.1002/(ISSN)2195-1071;ADVANCED OPTICAL MATERIALS (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2195-1071;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2195-1071/issues;;General & Introductory Materials Science;Wiley;Online
2258;1615-4150;1615-4169;10.1002/(ISSN)1615-4169;ADVANCED SYNTHESIS & CATALYSIS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4169;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4169/issues;Chemistry   ;Organic Chemistry;Wiley;Print & Online
ADV;0730-6679;1098-2329;10.1002/(ISSN)1098-2329;ADVANCES IN POLYMER TECHNOLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329/issues;Chemistry   ;Polymer processing;Wiley;Print & Online
ARBE;0001-9852;1467-6346;10.1111/(ISSN)1467-6346;AFRICA RESEARCH BULLETIN: ECONOMIC, FINANCIAL AND TECHNICAL SERIES;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346/issues;Humanities and Social Sciences;General & Introductory Development Studies;Blackwell;Print & Online
ARBP;0001-9844;1467-825X;10.1111/(ISSN)1467-825X;AFRICA RESEARCH BULLETIN: POLITICAL, SOCIAL AND CULTURAL SERIES;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X/issues;Humanities and Social Sciences;General & Introductory Development Studies;Blackwell;Print & Online
AFDR;1017-6772;1467-8268;10.1111/(ISSN)1467-8268;AFRICAN DEVELOPMENT REVIEW;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268/issues;Humanities and Social Sciences;General & Introductory Development Studies;Blackwell;Print & Online
AJE;0141-6707;1365-2028;10.1111/(ISSN)1365-2028;AFRICAN JOURNAL OF ECOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2028;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2028/issues;Life Sciences;Ecology & Organismal Biology;Blackwell;Print & Online
AB;0096-140X;1098-2337;10.1002/(ISSN)1098-2337;AGGRESSIVE BEHAVIOR;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337/issues;Psychology;Brain & Behavior: Physiological Psychology;Wiley;Print & Online
AGR;0742-4477;1520-6297;10.1002/(ISSN)1520-6297;AGRIBUSINESS : AN INTERNATIONAL JOURNAL;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297/issues;Business, Economics, Finance and Accounting    ;Agricultural Economics & Resource Management;Wiley;Print & Online
AFE;1461-9555;1461-9563;10.1111/(ISSN)1461-9563;AGRICULTURAL AND FOREST ENTOMOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563/issues;Earth and Environmental Science;Entomology;Blackwell;Print & Online
AGEC;0169-5150;1574-0862;10.1111/(ISSN)1574-0862;AGRICULTURAL ECONOMICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862/issues;Business, Economics, Finance and Accounting;Agricultural Economics & Resource Management;Blackwell;Print & Online
AIC;0001-1541;1547-5905;10.1002/(ISSN)1547-5905;AICHE JOURNAL;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905/issues;Chemistry   ;Chemical Engineering, General;Wiley;Print & Online
ACER;0145-6008;1530-0277;10.1111/(ISSN)1530-0277;ALCOHOLISM (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277/issues;Medical, Veterinary and Health Sciences;Alcoholism;Blackwell;Online
ADAW;1042-1394;1556-7591;10.1002/(ISSN)1556-7591;ALCOHOLISM AND DRUG ABUSE WEEKLY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591/issues;Psychology;Addiction;Wiley;Print & Online
APT;0269-2813;1365-2036;10.1111/(ISSN)1365-2036;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036/issues;Medical, Veterinary and Health Sciences;Gastroenterology & Hepatology;Blackwell;Print & Online
ALL;0105-4538;1398-9995;10.1111/(ISSN)1398-9995;ALLERGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995/issues;Medical, Veterinary and Health Sciences;Allergy & Clinical Immunology;Blackwell;Print & Online
ALT;1549-4373;1549-4381;10.1002/(ISSN)1549-4381;ALTERNATIVES TO THE HIGH COST OF LITIGATION;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381/issues;Law and Criminology;Arbitration & Mediation;Wiley;Print & Online
AMAN;0002-7294;1548-1433;10.1111/(ISSN)1548-1433;AMERICAN ANTHROPOLOGIST;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433/issues;Humanities and Social Sciences;General & Introductory Anthropology;Blackwell;Print & Online
ABLJ;0002-7766;1744-1714;10.1111/(ISSN)1744-1714;AMERICAN BUSINESS LAW JOURNAL;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714/issues;Law and Criminology;Commercial Law;Blackwell;Print & Online
AMET;0094-0496;1548-1425;10.1111/(ISSN)1548-1425;AMERICAN ETHNOLOGIST;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425/issues;Humanities and Social Sciences;Anthropological Theory & Methods / Ethnography;Blackwell;Print & Online
AJES;0002-9246;1536-7150;10.1111/(ISSN)1536-7150;AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150/issues;Humanities and Social Sciences;Economic History;Blackwell;Print & Online
AJH;0361-8609;1096-8652;10.1002/(ISSN)1096-8652;AMERICAN JOURNAL OF HEMATOLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652/issues;Medical, Veterinary and Health Sciences;Hematology;Wiley;Print & Online
AJHB;1042-0533;1520-6300;10.1002/(ISSN)1520-6300;AMERICAN JOURNAL OF HUMAN BIOLOGY  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300/issues;Life Sciences;Ecology & Organismal Biology;Wiley;Online
AJIM;0271-3586;1097-0274;10.1002/(ISSN)1097-0274;AMERICAN JOURNAL OF INDUSTRIAL MEDICINE;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274/issues;Medical, Veterinary and Health Sciences;Environmental & Occupational Health;Wiley;Print & Online
AJMG;1552-4868;1552-4833;10.1002/(ISSN)1552-4876;AMERICAN JOURNAL OF MEDICAL GENETICS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876/issues;Life Sciences;Medical Genetics;Wiley;Print & Online
AJPA;0002-9483;1096-8644;10.1002/(ISSN)1096-8644;AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644/issues;Life Sciences;Biological Anthropology;Wiley;Print & Online
AJPS;0092-5853;1540-5907;10.1111/(ISSN)1540-5907;AMERICAN JOURNAL OF POLITICAL SCIENCE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907/issues;Humanities and Social Sciences;General & Introductory Political Science;Blackwell;Print & Online
AJP;0275-2565;1098-2345;10.1002/(ISSN)1098-2345;AMERICAN JOURNAL OF PRIMATOLOGY  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345/issues;Life Sciences;Comparative Biology (Botany & Zoology);Wiley;Online
AJI;1046-7408;1600-0897;10.1111/(ISSN)1600-0897;AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897/issues;Medical, Veterinary and Health Sciences;Allergy & Clinical Immunology;Blackwell;Online
AJT;1600-6135;1600-6143;10.1111/(ISSN)1600-6143;AMERICAN JOURNAL OF TRANSPLANTATION;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143/issues;Medical, Veterinary and Health Sciences;Transplantation;Blackwell;Print & Online
AJAD;1055-0496;1521-0391;10.1111/(ISSN)1521-0391;THE AMERICAN JOURNAL ON ADDICTIONS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-0391;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-0391/issues;Medical, Veterinary and Health Sciences;Addiction;Blackwell;Print & Online
ANAE;0003-2409;1365-2044;10.1111/(ISSN)1365-2044;ANAESTHESIA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044/issues;Medical, Veterinary and Health Sciences;Anesthesia & Pain Management;Blackwell;Print & Online
ASAP;1529-7489;1530-2415;10.1111/(ISSN)1530-2415;ANALYSES OF SOCIAL ISSUES & PUBLIC POLICY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415/issues;Psychology;Social Psychology;Blackwell;Print & Online
PHIB;2153-9596;2153-960X;10.1111/(ISSN)2153-960X;ANALYTIC PHILOSOPHY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0149;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0149/issues;Humanities and Social Sciences;Analytic Philosophy;Blackwell;Print & Online
AHE;0340-2096;1439-0264;10.1111/(ISSN)1439-0264;ANATOMIA, HISTOLOGIA, EMBRYOLOGIA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264/issues;Life Sciences;Anatomy & Physiology;Blackwell;Print & Online
AR;1932-8486;1932-8494;10.1002/(ISSN)1932-8494;THE ANATOMICAL RECORD : ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8494;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8494/issues;Life Sciences;Anatomy & Physiology;Wiley;Print & Online
ASE;1935-9772;1935-9780;10.1002/(ISSN)1935-9780;ANATOMICAL SCIENCES EDUCATION  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1935-9780;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1935-9780/issues;Life Sciences;Anatomy & Physiology;Wiley;Online
AND;0303-4569;1439-0272;10.1111/(ISSN)1439-0272;ANDROLOGIA (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272/issues;Medical, Veterinary and Health Sciences;Andrology;Blackwell;Online
ANDR;2047-2919;2047-2927;10.1111/(ISSN)2047-2927;ANDROLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2047-2927;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2047-2927/issues;Medical, Veterinary and Health Sciences;Andrology;Blackwell;Print & Online
2001;0044-8249;1521-3757;10.1002/(ISSN)1521-3757;ANGEWANDTE CHEMIE;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757/issues;Chemistry   ;General & Introductory Chemistry;Wiley;Print & Online
2002;1433-7851;1521-3773;10.1002/(ISSN)1521-3773;ANGEWANDTE CHEMIE INTERNATIONAL EDITION;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773/issues;Chemistry   ;General & Introductory Chemistry;Wiley;Print & Online
ACV;1367-9430;1469-1795;10.1111/(ISSN)1469-1795;ANIMAL CONSERVATION;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795/issues;Life Sciences;Conservation Science;Blackwell;Print & Online
AGE;0268-9146;1365-2052;10.1111/(ISSN)1365-2052;ANIMAL GENETICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052/issues;Life Sciences;Animal Genetics;Blackwell;Print & Online
ASJ;1344-3941;1740-0929;10.1111/(ISSN)1740-0929;ANIMAL SCIENCE JOURNAL (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-0929;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-0929/issues;Life Sciences;Animal Reproduction;Blackwell;Online
2257;0003-3804;1521-3889;10.1002/(ISSN)1521-3889;ANNALEN DER PHYSIK;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889/issues;Physics and Astronomy;General & Introductory Physics;Wiley;Print & Online
NAPA;2153-957X;2153-9588;10.1111/(ISSN)2153-9588;ANNALS OF ANTHROPOLOGICAL PRACTICE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4797;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4797/issues;Humanities and Social Sciences;North American Anthropology;Blackwell;Print & Online
AAB;0003-4746;1744-7348;10.1111/(ISSN)1744-7348;ANNALS OF APPLIED BIOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348/issues;Life Sciences;Plant Science;Blackwell;Print & Online
AHG;0003-4800;1469-1809;10.1111/(ISSN)1469-1809;ANNALS OF HUMAN GENETICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809/issues;Life Sciences;Human Genetics;Blackwell;Print & Online
ANA;0364-5134;1531-8249;10.1002/(ISSN)1531-8249;ANNALS OF NEUROLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249/issues;Medical, Veterinary and Health Sciences;Neurology;Wiley;Print & Online
ANEC;1082-720X;1542-474X;10.1111/(ISSN)1542-474X;ANNALS OF NONINVASIVE ELECTROCARDIOLOGY (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X/issues;Medical, Veterinary and Health Sciences;Cardiovascular Disease;Blackwell;Online
APCE;1370-4788;1467-8292;10.1111/(ISSN)1467-8292;ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292/issues;Business, Economics, Finance and Accounting    ;Public Economics;Blackwell;Print & Online
NYAS;0077-8923;1749-6632;10.1111/(ISSN)1749-6632;ANNALS OF THE NEW YORK ACADEMY OF SCIENCES;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632/issues;Medical, Veterinary and Health Sciences;General & Introductory Life Sciences;Blackwell;Print & Online
AEQ;0161-7761;1548-1492;10.1111/(ISSN)1548-1492;ANTHROPOLOGY & EDUCATION QUARTERLY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492/issues;Humanities and Social Sciences;Social & Cultural Anthropology;Blackwell;Print & Online
ANHU;1559-9167;1548-1409;10.1111/(ISSN)1548-1409;ANTHROPOLOGY & HUMANISM;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409/issues;Humanities and Social Sciences;Anthropology Special Topics;Blackwell;Print & Online
ANOC;1053-4202;1556-3537;10.1111/(ISSN)1556-3537;ANTHROPOLOGY OF CONSCIOUSNESS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537/issues;Humanities and Social Sciences;Anthropology of Religion;Blackwell;Print & Online
AWR;0883-024X;1548-1417;10.1111/(ISSN)1548-1417;ANTHROPOLOGY OF WORK REVIEW;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417/issues;Humanities and Social Sciences;Economic & Political Anthropology;Blackwell;Print & Online
