title;pid;url;issn;eissn
La linguistique;revue-la-linguistique;http://www.cairn.info/revue-la-linguistique.htm;0075-966X;2101-0234
Littérature;revue-litterature;http://www.cairn.info/revue-litterature.htm;0047-4800;1958-5926
M@n@gement;revue-management;http://www.cairn.info/revue-management.htm;1286-4692;N/A
Management & Avenir;revue-management-et-avenir;http://www.cairn.info/revue-management-et-avenir.htm;1768-5958;1969-6574
Market Management;revue-market-management;http://www.cairn.info/revue-market-management.htm;1779-3572;2111-4374
Matériaux pour l’histoire de notre temps ;revue-materiaux-pour-l-histoire-de-notre-temps;http://www.cairn.info/revue-materiaux-pour-l-histoire-de-notre-temps.htm;0769-3206;1952-4226
Médiévales;revue-medievales;http://www.cairn.info/revue-medievales.htm;0751-2708;1777-5892
Méditerranée;revue-mediterranee;http://www.cairn.info/revue-mediterranee.htm;0025-8296;1760-8538
Mil neuf cent. Revue d'histoire intellectuelle;revue-mil-neuf-cent;http://www.cairn.info/revue-mil-neuf-cent.htm;1146-1225;1960-6648
Mille huit cent quatre-vingt-quinze;revue-1895;http://www.cairn.info/revue-1895.htm;0769-0959;1960-6176
Mondes en développement;revue-mondes-en-developpement;http://www.cairn.info/revue-mondes-en-developpement.htm;0302-3052;1782-1444
Mots. Les langages du politique;revue-mots;http://www.cairn.info/revue-mots.htm;0243-6450;1960-6001
Le Mouvement Social;revue-le-mouvement-social;http://www.cairn.info/revue-le-mouvement-social.htm;0027-2671;1961-8646
Mouvements;revue-mouvements;http://www.cairn.info/revue-mouvements.htm;1291-6412;1776-2995
Movement & Sport Sciences;revue-science-et-motricite;http://www.cairn.info/revue-science-et-motricite.htm;1378-1863;1782-1541
Le Moyen Age;revue-le-moyen-age;http://www.cairn.info/revue-le-moyen-age.htm;0027-2841;1782-1436
Multitudes;revue-multitudes;http://www.cairn.info/revue-multitudes.htm;0292-0107;1777-5841
Napoleonica. La Revue;revue-napoleonica-la-revue;http://www.cairn.info/revue-napoleonica-la-revue.htm;2100-0123;N/A
Natures Sciences Sociétés;revue-natures-sciences-societes;http://www.cairn.info/revue-natures-sciences-societes.htm;1240-1307;1765-2979
Négociations;revue-negociations;http://www.cairn.info/revue-negociations.htm;1780-9231;1782-1452
Norois;revue-norois;http://www.cairn.info/revue-norois.htm;0029-182X;1760-8546
Les Nouveaux Cahiers du Conseil constitutionnel;revue-les-nouveaux-cahiers-du-conseil-constitutionnelles-nouveaux-cahiers-du-conseil-c;http://www.cairn.info/revue-les-nouveaux-cahiers-du-conseil-constitutionnelles-nouveaux-cahiers-du-conseil-c.htm;2112-2679;1968-3820
Nouvelle revue de psychosociologie;revue-nouvelle-revue-de-psychosociologie;http://www.cairn.info/revue-nouvelle-revue-de-psychosociologie.htm;1951-9532;1961-8697
Nouvelles FondationS;revue-nouvelles-fondations;http://www.cairn.info/revue-nouvelles-fondations.htm;1951-9745;2101-0242
Outre-Terre;revue-outre-terre;http://www.cairn.info/revue-outre-terre.htm;1636-3671;1951-624X
Parlement[s], Revue d'histoire politique;revue-parlements;http://www.cairn.info/revue-parlements.htm;1768-6520;1760-6233
Participations;revue-participations;http://www.cairn.info/revue-participations.htm;2034-7650;2034-7669
La pensée de midi;revue-la-pensee-de-midi;http://www.cairn.info/revue-la-pensee-de-midi.htm;1621-5338;1950-604X
Pensée plurielle;revue-pensee-plurielle;http://www.cairn.info/revue-pensee-plurielle.htm;1376-0963;1782-1479
Perspectives Psy;revue-perspectives-psy;http://www.cairn.info/revue-perspectives-psy.htm;0031-6032;2118-4038
Philosophia Scientiæ;revue-philosophia-scientiae;http://www.cairn.info/revue-philosophia-scientiae.htm;1281-2463;1775-4283
Philosophie;revue-philosophie;http://www.cairn.info/revue-philosophie.htm;0294-1805;1968-391X
Le philosophoire;revue-le-philosophoire;http://www.cairn.info/revue-le-philosophoire.htm;1283-7091;1968-3839
Plein droit;revue-plein-droit;http://www.cairn.info/revue-plein-droit.htm;0987-3260;2262-5135
Poétique;revue-poetique;http://www.cairn.info/revue-poetique.htm;1245-1274;1968-3871
Pôle Sud;revue-pole-sud;http://www.cairn.info/revue-pole-sud.htm;1262-1676;1960-6656
Politique étrangère;revue-politique-etrangere;http://www.cairn.info/revue-politique-etrangere.htm;0032-342X;1958-8992
Politique européenne;revue-politique-europeenne;http://www.cairn.info/revue-politique-europeenne.htm;1623-6297;2105-2875
Politix;revue-politix;http://www.cairn.info/revue-politix.htm;0295-2319;1953-8286
Population;revue-population;http://www.cairn.info/revue-population.htm;0032-4663;1957-7966
Population (English Edition);revue-population-english;http://www.cairn.info/revue-population-english.htm;1634-2941;1958-9190
Population & Avenir;revue-population-et-avenir;http://www.cairn.info/revue-population-et-avenir.htm;0223-5706;1968-3952
Pouvoirs;revue-pouvoirs;http://www.cairn.info/revue-pouvoirs.htm;0152-0768;2101-0390
Pratiques et Organisation des Soins;revue-pratiques-et-organisation-des-soins;http://www.cairn.info/revue-pratiques-et-organisation-des-soins.htm;1952-9201;1961-9391
Problèmes d'Amérique latine;revue-problemes-d-amerique-latine;http://www.cairn.info/revue-problemes-d-amerique-latine.htm;0765-1333;1968-3898
Projectics / Proyéctica / Projectique;revue-projectique;http://www.cairn.info/revue-projectique.htm;2031-9703;2032-0043
Projet;revue-projet;http://www.cairn.info/revue-projet.htm;0033-0884;2108-6648
Psychanalyse;revue-psychanalyse;http://www.cairn.info/revue-psychanalyse.htm;1770-0078;1951-6320
La psychiatrie de l'enfant;revue-la-psychiatrie-de-l-enfant;http://www.cairn.info/revue-la-psychiatrie-de-l-enfant.htm;0079-726X;2102-5320
Psychologie Clinique;revue-psychologie-clinique;http://www.cairn.info/revue-psychologie-clinique.htm;1145-1882;2118-4224
Psychologie clinique et projective;revue-psychologie-clinique-et-projective;http://www.cairn.info/revue-psychologie-clinique-et-projective.htm;1265-5449;2118-4496
Psychothérapies;revue-psychotherapies;http://www.cairn.info/revue-psychotherapies.htm;0251-737X;en cours
Psychotropes;revue-psychotropes;http://www.cairn.info/revue-psychotropes.htm;1245-2092;1782-1487
Raisons politiques;revue-raisons-politiques;http://www.cairn.info/revue-raisons-politiques.htm;1291-1941;1950-6708
Recherche & formation;revue-recherche-et-formation;http://www.cairn.info/revue-recherche-et-formation.htm;0988-1824;1968-3936
Recherches de Science Religieuse;revue-recherches-de-science-religieuse;http://www.cairn.info/revue-recherches-de-science-religieuse.htm;0034-1258;2104-3884
Recherches économiques de Louvain;revue-recherches-economiques-de-louvain;http://www.cairn.info/revue-recherches-economiques-de-louvain.htm;0770-4518;1782-1495
Recherches en psychanalyse;revue-recherches-en-psychanalyse;http://www.cairn.info/revue-recherches-en-psychanalyse.htm;1767-5448;1965-0213
Recherches familiales;revue-recherches-familiales;http://www.cairn.info/revue-recherches-familiales.htm;1763-718X;2118-3252
Recherches linguistiques de Vincennes;revue-recherches-linguistiques-de-vincennes;http://www.cairn.info/revue-recherches-linguistiques-de-vincennes.htm;0986-6124;1958-9239
Recherches sur Diderot et sur l’Encyclopédie;revue-recherches-sur-diderot-et-sur-l-encyclopedie;http://www.cairn.info/revue-recherches-sur-diderot-et-sur-l-encyclopedie.htm;0769-0886;1955-2416
Reflets et perspectives de la vie économique;revue-reflets-et-perspectives-de-la-vie-economique;http://www.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique.htm;0034-2971;1782-1509
Regards croisés sur l'économie;revue-regards-croises-sur-l-economie;http://www.cairn.info/revue-regards-croises-sur-l-economie.htm;1956-7413;2119-3975
Regards sur l'économie allemande;revue-regards-sur-l-economie-allemande;http://www.cairn.info/revue-regards-sur-l-economie-allemande.htm;1156-8992;1965-0787
Relations internationales ;revue-relations-internationales;http://www.cairn.info/revue-relations-internationales.htm;0335-2013;2105-2654
Reliance;revue-reliance;http://www.cairn.info/revue-reliance.htm;1774-9743;1951-6282
Réseaux;revue-reseaux;http://www.cairn.info/revue-reseaux.htm;0751-7971;1777-5809
Retraite et société;revue-retraite-et-societe;http://www.cairn.info/revue-retraite-et-societe.htm;1167-4687;1961-8719
Revue archéologique;revue-archeologique;http://www.cairn.info/revue-archeologique.htm;0035-0737;2104-3868
Revue Congolaise de Gestion;revue-revue-congolaise-de-gestion;http://www.cairn.info/revue-revue-congolaise-de-gestion.htm;1729-0228;N/A
Revue d'anthropologie des connaissances;revue-anthropologie-des-connaissances;http://www.cairn.info/revue-anthropologie-des-connaissances.htm;1760-5393;N/A
Revue d'assyriologie et d'archéologie orientale;revue-d-assyriologie;http://www.cairn.info/revue-d-assyriologie.htm;0373-6032;2104-3817
