title;issn;eissn;pid;lien
American Journal of Clinical Dermatology;1175-0561;1179-1888;40257;http://link.springer.com/journal/40257
American Journal of Community Psychology;0091-0562;1573-2770;10464;http://link.springer.com/journal/10464
American Journal of Criminal Justice;1066-2316;1936-1351;12103;http://link.springer.com/journal/12103
American Journal of Dance Therapy;0146-3721;1573-3262;10465;http://link.springer.com/journal/10465
American Journal of Drug Delivery;1175-9038;;40281;http://link.springer.com/journal/40281
American Journal of Pharmacogenomics;1175-2203;;40270;http://link.springer.com/journal/40270
American Journal of Potato Research;1099-209X;1874-9380;12230;http://link.springer.com/journal/12230
Amino Acids;0939-4451;1438-2199;726;http://link.springer.com/journal/726
AMS Review;1869-814X;1869-8182;13162;http://link.springer.com/journal/13162
Analog Integrated Circuits and Signal Processing;0925-1030;1573-1979;10470;http://link.springer.com/journal/10470
Analysis and Mathematical Physics;1664-2368;1664-235X;13324;http://link.springer.com/journal/13324
Analysis in Theory and Applications;1672-4070;1573-8175;10496;http://link.springer.com/journal/10496
Analysis Mathematica;0133-3852;1588-273X;10476;http://link.springer.com/journal/10476
Analytical and Bioanalytical Chemistry;1618-2642;1618-2650;216;http://link.springer.com/journal/216
Anatomical Science International;1447-6959;1447-073X;12565;http://link.springer.com/journal/12565
Andrologie;1166-2654;1760-5377;12610;http://link.springer.com/journal/12610
Angiogenesis;0969-6970;1573-7209;10456;http://link.springer.com/journal/10456
Animal Cognition;1435-9448;1435-9456;10071;http://link.springer.com/journal/10071
Annalen der Philosophie;0165-0106;1866-6167;12377;http://link.springer.com/journal/12377
Annalen der Philosophie und philosophischen Kritik;1866-6175;1866-6175;12375;http://link.springer.com/journal/12375
Annales franÃ§aises de mÃ©decine d'urgence;2108-6524;2108-6591;13341;http://link.springer.com/journal/13341
Annales Geophysicae;0992-7689;1432-0576;585;http://link.springer.com/journal/585
Annales Henri PoincarÃ©;1424-0637;1424-0661;23;http://link.springer.com/journal/23
ANNALI DELL'UNIVERSITA' DI FERRARA;0430-3202;1827-1510;11565;http://link.springer.com/journal/11565
Annali di Matematica Pura ed Applicata;0373-3114;1618-1891;10231;http://link.springer.com/journal/10231
Annals of Behavioral Medicine;0883-6612;1532-4796;12160;http://link.springer.com/journal/12160
Annals of Biomedical Engineering;0090-6964;1573-9686;10439;http://link.springer.com/journal/10439
Annals of Clinical Microbiology and Antimicrobials;;1476-0711;12941;http://link.springer.com/journal/12941
Annals of Clinical Psychiatry;1040-1237;1573-3238;10442;http://link.springer.com/journal/10442
Annals of Combinatorics;0218-0006;0219-3094;26;http://link.springer.com/journal/26
Annals of Dyslexia;0736-9387;1934-7243;11881;http://link.springer.com/journal/11881
Annals of Finance;1614-2446;1614-2454;10436;http://link.springer.com/journal/10436
Annals of Forest Science;1286-4560;1297-966X;13595;http://link.springer.com/journal/13595
Annals of General Psychiatry;;1744-859X;12991;http://link.springer.com/journal/12991
Annals of Global Analysis and Geometry;0232-704X;1572-9060;10455;http://link.springer.com/journal/10455
Annals of Hematology;0939-5555;1432-0584;277;http://link.springer.com/journal/277
Annals of Intensive Care;;2110-5820;13613;http://link.springer.com/journal/13613
Annals of Mathematics and Artificial Intelligence;1012-2443;1573-7470;10472;http://link.springer.com/journal/10472
Annals of Microbiology;1590-4261;1869-2044;13213;http://link.springer.com/journal/13213
Annals of Nuclear Medicine;0914-7187;1864-6433;12149;http://link.springer.com/journal/12149
Annals of Operations Research;0254-5330;1572-9338;10479;http://link.springer.com/journal/10479
Annals of Ophthalmology;1530-4086;1558-9951;12009;http://link.springer.com/journal/12009
Annals of Software Engineering;1022-7091;1573-7489;10480;http://link.springer.com/journal/10480
Annals of Solid and Structural Mechanics;1867-6936;1867-6944;12356;http://link.springer.com/journal/12356
Annals of Surgical Innovation and Research;;1750-1164;13022;http://link.springer.com/journal/13022
Annals of Surgical Oncology;1068-9265;1534-4681;10434;http://link.springer.com/journal/10434
annals of telecommunications - annales des tÃ©lÃ©communications;0003-4347;1958-9395;12243;http://link.springer.com/journal/12243
Annals of the Institute of Statistical Mathematics;0020-3157;1572-9052;10463;http://link.springer.com/journal/10463
Annals of Vascular Surgery;0890-5096;1615-5947;10016;http://link.springer.com/journal/10016
Antimicrobial Resistance and Infection Control;;2047-2994;13756;http://link.springer.com/journal/13756
Antonie van Leeuwenhoek;0003-6072;1572-9699;10482;http://link.springer.com/journal/10482
Apidologie;0044-8435;1297-9678;13592;http://link.springer.com/journal/13592
Apoptosis;1360-8185;1573-675X;10495;http://link.springer.com/journal/10495
Applicable Algebra in Engineering, Communication and Computing;0938-1279;1432-0622;200;http://link.springer.com/journal/200
Applications of Mathematics;0862-7940;1572-9109;10492;http://link.springer.com/journal/10492
Applied Biochemistry and Biotechnology;0273-2289;1559-0291;12010;http://link.springer.com/journal/12010
Applied Biochemistry and Microbiology;0003-6838;1608-3024;10438;http://link.springer.com/journal/10438
Applied Bioinformatics;1175-5636;;40282;http://link.springer.com/journal/40282
Applied Categorical Structures;0927-2852;1572-9095;10485;http://link.springer.com/journal/10485
Applied Composite Materials;0929-189X;1573-4897;10443;http://link.springer.com/journal/10443
Applied Entomology and Zoology;0003-6862;1347-605X;13355;http://link.springer.com/journal/13355
Applied Geomatics;1866-9298;1866-928X;12518;http://link.springer.com/journal/12518
Applied Geophysics;1672-7975;1993-0658;11770;http://link.springer.com/journal/11770
Applied Health Economics and Health Policy;1175-5652;1179-1896;40258;http://link.springer.com/journal/40258
Applied Intelligence;0924-669X;1573-7497;10489;http://link.springer.com/journal/10489
Applied Magnetic Resonance;0937-9347;1613-7507;723;http://link.springer.com/journal/723
"Applied Mathematics &amp; Optimization";0095-4616;1432-0606;245;http://link.springer.com/journal/245
Applied Mathematics and Mechanics;0253-4827;1573-2754;10483;http://link.springer.com/journal/10483
Applied Mathematics-A Journal of Chinese Universities;1005-1031;1993-0445;11766;http://link.springer.com/journal/11766
Applied Microbiology and Biotechnology;0175-7598;1432-0614;253;http://link.springer.com/journal/253
Applied Nanoscience;2190-5509;2190-5517;13204;http://link.springer.com/journal/13204
Applied Petrochemical Research;2190-5525;2190-5533;13203;http://link.springer.com/journal/13203
Applied Physics A;0947-8396;1432-0630;339;http://link.springer.com/journal/339
Applied Physics B;0946-2171;1432-0649;340;http://link.springer.com/journal/340
Applied Psychophysiology and Biofeedback;1090-0586;1573-3270;10484;http://link.springer.com/journal/10484
Applied Research in Quality of Life;1871-2584;1871-2576;11482;http://link.springer.com/journal/11482
Applied Scientific Research, Section B;0365-7140;;12380;http://link.springer.com/journal/12380
Applied Solar Energy;0003-701X;1934-9424;11949;http://link.springer.com/journal/11949
Applied Spatial Analysis and Policy;1874-463X;1874-4621;12061;http://link.springer.com/journal/12061
Applied Water Science;2190-5487;2190-5495;13201;http://link.springer.com/journal/13201
Aquaculture International;0967-6120;1573-143X;10499;http://link.springer.com/journal/10499
Aquarium Sciences and Conservation;1357-5325;1573-1448;10507;http://link.springer.com/journal/10507
Aquatic Biosystems;;2046-9063;12999;http://link.springer.com/journal/12999
Aquatic Ecology;1386-2588;1573-5125;10452;http://link.springer.com/journal/10452
Aquatic Geochemistry;1380-6165;1573-1421;10498;http://link.springer.com/journal/10498
Aquatic Sciences;1015-1621;1420-9055;27;http://link.springer.com/journal/27
Arabian Journal for Science and Engineering;1319-8025;2191-4281;13369;http://link.springer.com/journal/13369
Arabian Journal of Geosciences;1866-7511;1866-7538;12517;http://link.springer.com/journal/12517
Arabian Journal of Mathematics;2193-5343;2193-5351;40065;http://link.springer.com/journal/40065
Archaeological and Anthropological Sciences;1866-9557;1866-9565;12520;http://link.springer.com/journal/12520
Archaeologies;1555-8622;1935-3987;11759;http://link.springer.com/journal/11759
Archaeology, Ethnology and Anthropology of Eurasia;1563-0110;1531-832X;11473;http://link.springer.com/journal/11473
Archiv der Mathematik;0003-889X;1420-8938;13;http://link.springer.com/journal/13
Archiv fÃ¼r mikroskopische Anatomie;0176-7364;;12361;http://link.springer.com/journal/12361
Archival Science;1389-0166;1573-7519;10502;http://link.springer.com/journal/10502
Archive for History of Exact Sciences;0003-9519;1432-0657;407;http://link.springer.com/journal/407
Archive for Mathematical Logic;0933-5846;1432-0665;153;http://link.springer.com/journal/153
Archive for Rational Mechanics and Analysis;0003-9527;1432-0673;205;http://link.springer.com/journal/205
Archive of Applied Mechanics;0939-1533;1432-0681;419;http://link.springer.com/journal/419
Archives and Museum Informatics;1042-1467;1573-7500;10505;http://link.springer.com/journal/10505
Archives of Computational Methods in Engineering;1134-3060;1886-1784;11831;http://link.springer.com/journal/11831
Archives of Dermatological Research;0340-3696;1432-069X;403;http://link.springer.com/journal/403
Archives of Environmental Contamination and Toxicology;0090-4341;1432-0703;244;http://link.springer.com/journal/244
Archives of Gynecology and Obstetrics;0932-0067;1432-0711;404;http://link.springer.com/journal/404
Archives of Microbiology;0302-8933;1432-072X;203;http://link.springer.com/journal/203
Archives of Orthopaedic and Trauma Surgery;0936-8051;1434-3916;402;http://link.springer.com/journal/402
Archives of Osteoporosis;1862-3522;1862-3514;11657;http://link.springer.com/journal/11657
Archives of Pharmacal Research;0253-6269;1976-3786;12272;http://link.springer.com/journal/12272
Archives of Public Health;;0778-7367;13690;http://link.springer.com/journal/13690
Archives of Sexual Behavior;0004-0002;1573-2800;10508;http://link.springer.com/journal/10508
Archives of Suicide Research;1381-1118;1573-8159;10510;http://link.springer.com/journal/10510
Archives of Toxicology;0340-5761;1432-0738;204;http://link.springer.com/journal/204
Archives of Virology;0304-8608;1432-8798;705;http://link.springer.com/journal/705
Archives of Women's Mental Health;1434-1816;1435-1102;737;http://link.springer.com/journal/737
Archivio di Ortopedia e Reumatologia;0390-7368;1592-7113;10261;http://link.springer.com/journal/10261
Archivum Immunologiae et Therapiae Experimentalis;0004-069X;1661-4917;5;http://link.springer.com/journal/5
"ArgoSpine News &amp; Journal";1957-7729;1957-7737;12240;http://link.springer.com/journal/12240
Argumentation;0920-427X;1572-8374;10503;http://link.springer.com/journal/10503
Arid Ecosystems;2079-0961;2079-0988;13330;http://link.springer.com/journal/13330
Arkiv fÃ¶r Matematik;0004-2080;1871-2487;11512;http://link.springer.com/journal/11512
"Arthritis Research &amp; Therapy";;1478-6354;13075;http://link.springer.com/journal/13075
Arthropod-Plant Interactions;1872-8855;1872-8847;11829;http://link.springer.com/journal/11829
Arthroskopie;0933-7946;1434-3924;142;http://link.springer.com/journal/142
Artificial Intelligence and Law;0924-8463;1572-8382;10506;http://link.springer.com/journal/10506
Artificial Intelligence Review;0269-2821;1573-7462;10462;http://link.springer.com/journal/10462
Artificial Life and Robotics;1433-5298;1614-7456;10015;http://link.springer.com/journal/10015
Asia Europe Journal;1610-2932;1612-1031;10308;http://link.springer.com/journal/10308
Asia Pacific Education Review;1598-1037;1876-407X;12564;http://link.springer.com/journal/12564
Asia Pacific Family Medicine;;1447-056X;12930;http://link.springer.com/journal/12930
Asia Pacific Journal of Management;0217-4561;1572-9958;10490;http://link.springer.com/journal/10490
Asia-Pacific Financial Markets;1387-2834;1573-6946;10690;http://link.springer.com/journal/10690
Asia-Pacific Journal of Atmospheric Sciences;1976-7633;1976-7951;13143;http://link.springer.com/journal/13143
Asian Journal of Business Ethics;2210-6723;2210-6731;13520;http://link.springer.com/journal/13520
Asian Journal of Criminology;1871-0131;1871-014X;11417;http://link.springer.com/journal/11417
AStA Advances in Statistical Analysis;1863-8171;1863-818X;10182;http://link.springer.com/journal/10182
AStA Wirtschafts- und Sozialstatistisches Archiv;1863-8155;1863-8163;11943;http://link.springer.com/journal/11943
Astronomy Letters;1063-7737;1562-6873;11443;http://link.springer.com/journal/11443
Astronomy Reports;1063-7729;1562-6881;11444;http://link.springer.com/journal/11444
Astrophysical Bulletin;1990-3413;1990-3421;11755;http://link.springer.com/journal/11755
Astrophysics;0571-7256;1573-8191;10511;http://link.springer.com/journal/10511
Astrophysics and Space Science;0004-640X;1572-946X;10509;http://link.springer.com/journal/10509
Atlantic Economic Journal;0197-4254;1573-9678;11293;http://link.springer.com/journal/11293
Atmospheric and Oceanic Optics;1024-8560;2070-0393;12605;http://link.springer.com/journal/12605
Atomic Energy;1063-4258;1573-8205;10512;http://link.springer.com/journal/10512
"Attention, Perception, &amp; Psychophysics";1943-3921;1943-393X;13414;http://link.springer.com/journal/13414
ATZ - Automobiltechnische Zeitschrift;0001-2785;2192-8800;35148;http://link.springer.com/journal/35148
ATZ worldwide;;2192-9076;38311;http://link.springer.com/journal/38311
ATZagenda;2194-9174;2194-9182;40357;http://link.springer.com/journal/40357
ATZautotechnology;1616-8216;2192-886X;35595;http://link.springer.com/journal/35595
ATZelektronik;1862-1791;2192-8878;35658;http://link.springer.com/journal/35658
ATZelektronik worldwide;;2192-9092;38314;http://link.springer.com/journal/38314
ATZextra;2195-1454;2195-1462;35778;http://link.springer.com/journal/35778
ATZextra worldwide;2195-1470;2195-1489;40111;http://link.springer.com/journal/40111
ATZproduktion;1865-4908;2192-8886;35726;http://link.springer.com/journal/35726
ATZproduktion worldwide;;2192-9106;38312;http://link.springer.com/journal/38312
"Australasian Physical &amp; Engineering Sciences in Medicine";0158-9938;1879-5447;13246;http://link.springer.com/journal/13246
Australasian Plant Disease Notes;;1833-928X;13314;http://link.springer.com/journal/13314
Australasian Plant Pathology;0815-3191;1448-6032;13313;http://link.springer.com/journal/13313
Auto Tech Review;2250-3390;;40112;http://link.springer.com/journal/40112
Autoimmunity Highlights;2038-0305;2038-3274;13317;http://link.springer.com/journal/13317
Automated Experimentation;;1759-4499;13097;http://link.springer.com/journal/13097
Automated Software Engineering;0928-8910;1573-7535;10515;http://link.springer.com/journal/10515
Automatic Control and Computer Sciences;0146-4116;1558-108X;11950;http://link.springer.com/journal/11950
Automatic Documentation and Mathematical Linguistics;0005-1055;1934-8371;11952;http://link.springer.com/journal/11952
Automation and Remote Control;0005-1179;1608-3032;10513;http://link.springer.com/journal/10513
Automotive Agenda;1867-495X;2192-8789;35777;http://link.springer.com/journal/35777
Autonomous Agents and Multi-Agent Systems;1387-2532;1573-7454;10458;http://link.springer.com/journal/10458
Autonomous Robots;0929-5593;1573-7527;10514;http://link.springer.com/journal/10514
Axiomathes;1122-1151;1572-8390;10516;http://link.springer.com/journal/10516
Basic Research in Cardiology;0300-8428;1435-1803;395;http://link.springer.com/journal/395
Baurechtliche BlÃ¤tter;1434-1832;1613-7612;738;http://link.springer.com/journal/738
Behavior Genetics;0001-8244;1573-3297;10519;http://link.springer.com/journal/10519
Behavior Research Methods;;1554-3528;13428;http://link.springer.com/journal/13428
Behavioral and Brain Functions;;1744-9081;12993;http://link.springer.com/journal/12993
Behavioral Ecology and Sociobiology;0340-5443;1432-0762;265;http://link.springer.com/journal/265
BeitrÃ¤ge zur Algebra und Geometrie / Contributions to Algebra and Geometry;0138-4821;2191-0383;13366;http://link.springer.com/journal/13366
Berliner Journal fÃ¼r Soziologie;0863-1808;1862-2593;11609;http://link.springer.com/journal/11609
best practice onkologie;0946-4565;1862-8559;11654;http://link.springer.com/journal/11654
BHM Berg- und HÃ¼ttenmÃ¤nnische Monatshefte;0005-8912;1613-7531;501;http://link.springer.com/journal/501
Bijblijven;0168-9428;1876-4916;12414;http://link.springer.com/journal/12414
Bijzijn;1871-7268;1876-4924;12415;http://link.springer.com/journal/12415
Bijzijn XL;2211-6524;2213-4565;12632;http://link.springer.com/journal/12632
Bio tribune magazine;1772-9416;1951-655X;11834;http://link.springer.com/journal/11834
Bioanalytical Reviews;1867-2086;1867-2094;12566;http://link.springer.com/journal/12566
Biochemical Genetics;0006-2928;1573-4927;10528;http://link.springer.com/journal/10528
Biochemistry (Moscow);0006-2979;1608-3040;10541;http://link.springer.com/journal/10541
Biochemistry (Moscow) Supplement Series A: Membrane and Cell Biology;1990-7478;1990-7494;11827;http://link.springer.com/journal/11827
Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry;1990-7508;1990-7516;11828;http://link.springer.com/journal/11828
BioChip Journal;1976-0280;2092-7843;13206;http://link.springer.com/journal/13206
BioControl;1386-6141;1573-8248;10526;http://link.springer.com/journal/10526
BioData Mining;;1756-0381;13040;http://link.springer.com/journal/13040
Biodegradation;0923-9820;1572-9729;10532;http://link.springer.com/journal/10532
Biodiversity and Conservation;0960-3115;1572-9710;10531;http://link.springer.com/journal/10531
BioDrugs;1173-8804;1179-190X;40259;http://link.springer.com/journal/40259
BioEnergy Research;1939-1234;1939-1242;12155;http://link.springer.com/journal/12155
Biogeochemistry;0168-2563;1573-515X;10533;http://link.springer.com/journal/10533
Biogerontology;1389-5729;1573-6768;10522;http://link.springer.com/journal/10522
Biointerphases;1934-8630;1559-4106;13758;http://link.springer.com/journal/13758
Biologia;0006-3088;1336-9563;11756;http://link.springer.com/journal/11756
Biologia Plantarum;0006-3134;1573-8264;10535;http://link.springer.com/journal/10535
Biological Cybernetics;0340-1200;1432-0770;422;http://link.springer.com/journal/422
Biological Invasions;1387-3547;1573-1464;10530;http://link.springer.com/journal/10530
Biological Procedures Online;1480-9222;1480-9222;12575;http://link.springer.com/journal/12575
Biological Theory;1555-5542;1555-5550;13752;http://link.springer.com/journal/13752
Biological Trace Element Research;0163-4984;1559-0720;12011;http://link.springer.com/journal/12011
Biologics in Therapy;2195-5840;2190-9164;13554;http://link.springer.com/journal/13554
"Biology &amp; Philosophy";0169-3867;1572-8404;10539;http://link.springer.com/journal/10539
Biology and Fertility of Soils;0178-2762;1432-0789;374;http://link.springer.com/journal/374
Biology Bulletin;1062-3590;1608-3059;10525;http://link.springer.com/journal/10525
Biology Bulletin Reviews;2079-0864;2079-0872;13335;http://link.springer.com/journal/13335
Biology Direct;;1745-6150;13062;http://link.springer.com/journal/13062
"Biology of Mood &amp; Anxiety Disorders";;2045-5380;13587;http://link.springer.com/journal/13587
Biology of Sex Differences;;2042-6410;13293;http://link.springer.com/journal/13293
Biomass Conversion and Biorefinery;2190-6815;2190-6823;13399;http://link.springer.com/journal/13399
Biomechanics and Modeling in Mechanobiology;1617-7959;1617-7940;10237;http://link.springer.com/journal/10237
Biomedical Engineering;0006-3398;1573-8256;10527;http://link.springer.com/journal/10527
Biomedical Engineering Letters;2093-9868;2093-985X;13534;http://link.springer.com/journal/13534
BioMedical Engineering OnLine;;1475-925X;12938;http://link.springer.com/journal/12938
Biomedical Microdevices;1387-2176;1572-8781;10544;http://link.springer.com/journal/10544
BioMetals;0966-0844;1572-8773;10534;http://link.springer.com/journal/10534
Biomolecular NMR Assignments;1874-2718;1874-270X;12104;http://link.springer.com/journal/12104
BioNanoScience;2191-1630;2191-1649;12668;http://link.springer.com/journal/12668
Biophysical Reviews;1867-2450;1867-2469;12551;http://link.springer.com/journal/12551
Biophysics;0006-3509;1555-6654;11439;http://link.springer.com/journal/11439
Bioprocess and Biosystems Engineering;1615-7591;1615-7605;449;http://link.springer.com/journal/449
BioPsychoSocial Medicine;;1751-0759;13030;http://link.springer.com/journal/13030
Bioscience Reports;0144-8463;1573-4935;10540;http://link.springer.com/journal/10540
Biosemiotics;1875-1342;1875-1350;12304;http://link.springer.com/journal/12304
Bioseparation;0923-179X;1573-8272;10536;http://link.springer.com/journal/10536
BIOspektrum;0947-0867;1868-6249;12268;http://link.springer.com/journal/12268
Biotechnology and Bioprocess Engineering;1226-8372;1976-3816;12257;http://link.springer.com/journal/12257
Biotechnology for Biofuels;;1754-6834;13068;http://link.springer.com/journal/13068
Biotechnology Letters;0141-5492;1573-6776;10529;http://link.springer.com/journal/10529
Biotechnology Techniques;0951-208X;1573-6784;10542;http://link.springer.com/journal/10542
Biotherapy;0921-299X;1573-8280;10537;http://link.springer.com/journal/10537
BIT Numerical Mathematics;0006-3835;1572-9125;10543;http://link.springer.com/journal/10543
BlÃ¤tter der DGVFM;1864-0281;1864-0303;11857;http://link.springer.com/journal/11857
BMC Anesthesiology;;1471-2253;12871;http://link.springer.com/journal/12871
BMC Biochemistry;;1471-2091;12858;http://link.springer.com/journal/12858
BMC Bioinformatics;;1471-2105;12859;http://link.springer.com/journal/12859
BMC Biology;;1741-7007;12915;http://link.springer.com/journal/12915
BMC Biophysics;;2046-1682;13628;http://link.springer.com/journal/13628
BMC Biotechnology;;1472-6750;12896;http://link.springer.com/journal/12896
BMC Blood Disorders;;1471-2326;12878;http://link.springer.com/journal/12878
